映画名,レビュー数
Back to the Future Part II 1989,398
Vicky Cristina Barcelona 2008,397
Dallas Buyers Club 2013,396
Con Air 1997,396
August Rush 2007,396
The Disaster Artist 2017,395
Abraham Lincoln: Vampire Hunter 2012,394
Lilo & Stitch 2002,393
Hotel Mumbai 2018,393
Men in Black 3 2012,388
Ali 2001,388
Monty Python's Life of Brian 1979,388
Unknown 2011,385
Straight Outta Compton 2015,385
Chicken Run 2000,384
Resident Evil: Extinction 2007,383
Mr. Nobody 2009,383
Coyote Ugly 2000,383
How to Lose a Guy in 10 Days 2003,381
We're the Millers 2013,381
Apollo 13 1995,381
Warm Bodies 2013,378
Die Hard with a Vengeance 1995,377
Bring It On 2000,377
Rocky IV 1985,376
Inside Llewyn Davis 2013,376
Hellboy II: The Golden Army 2008,375
The Twilight Saga: Breaking Dawn - Part 2 2012,374
Shooter 2007,374
Dangal 2016,372
The Last King of Scotland 2006,371
12 Strong 2018,371
Coraline 2009,370
"Crazy, Stupid, Love 2011",370
Beetlejuice 1988,368
Forgetting Sarah Marshall 2008,367
Mama 2013,365
This Is Spinal Tap 1984,364
The Birth of a Nation 1915,363
Jerry Maguire 1996,363
A Bug's Life 1998,362
RED 2010,362
Once 2007,361
Shrek the Third 2007,360
Rang De Basanti 2006,358
13 Hours 2016,358
Die Hard 2 1990,357
The Wedding Singer 1998,357
Molly's Game 2017,355
22 Jump Street 2014,355
Saving Mr. Banks 2013,354
Despicable Me 2010,352
Minions 2015,352
Climax 2018,351
The Great Escape 1963,348
Hansel & Gretel: Witch Hunters 2013,345
Southpaw 2015,344
Men in Black 1997,340
The Orphanage 2007,339
Driven 2001,339
Easy A 2010,339
Don Jon 2013,338
Cars 2 2011,336
The Longest Yard 2005,335
Black Mass 2015,335
The Grapes of Wrath 1940,335
Empire of the Sun 1987,335
Foxcatcher 2014,335
Everest 2015,335
Thirteen Days 2000,335
Pretty Woman 1990,333
The Secret Life of Pets 2016,333
The Fly 1986,332
American Made 2017,332
What We Do in the Shadows 2014,332
Monsters University 2013,331
Back to the Future Part III 1990,330
The Waterboy 1998,330
The Proposal 2009,330
Joy 2015,328
The Death of Stalin 2017,327
Bad Teacher 2011,325
When Harry Met Sally... 1989,325
The Emperor's New Groove 2000,324
Save the Last Dance 2001,323
Velvet Goldmine 1998,323
Despicable Me 2 2013,321
Friday Night Lights 2004,321
Green Room 2015,321
Jackie 2016,320
National Treasure: Book of Secrets 2007,319
Dog Day Afternoon 1975,319
The Hangover Part III 2013,318
Spartacus 1960,317
The Bridge on the River Kwai 1957,317
Aladdin 1992,317
Ocean's Thirteen 2007,316
The Girl with the Dragon Tattoo 2009,316
Shark Tale 2004,316
Miracle 2004,315
Happy Gilmore 1996,315
Fantastic Mr. Fox 2009,315
Gremlins 1984,314
Pitch Perfect 2012,314
Insidious: Chapter 2 2013,313
Mulan 1998,311
21 2008,311
Milk 2008,310
The Alamo 2004,305
Rocky V 1990,304
Antz 1998,303
Yes Man 2008,302
Ghost 1990,300
Music and Lyrics 2007,300
Underworld Awakening 2012,297
